,title,artist,top genre,year,bpm,duration,acousticness,popularity,country
3,Circles,Post Malone,dfw rap,2019,120.0,215,19.0,99,world
952,ROXANNE,Arizona Zervas,pop rap,2019,117.0,164,5.0,99,malaysia
953,Circles,Post Malone,dfw rap,2019,120.0,215,19.0,99,malaysia
201,ROXANNE,Arizona Zervas,pop rap,2019,117.0,164,5.0,99,belgium
51,Circles,Post Malone,dfw rap,2019,120.0,215,19.0,99,africa
401,ROXANNE,Arizona Zervas,pop rap,2019,117.0,164,5.0,99,germany
551,ROXANNE,Arizona Zervas,pop rap,2019,117.0,164,5.0,99,spain
351,ROXANNE,Arizona Zervas,pop rap,2019,117.0,164,5.0,99,canada
600,ROXANNE,Arizona Zervas,pop rap,2019,117.0,164,5.0,99,usa
601,Circles,Post Malone,dfw rap,2019,120.0,215,19.0,99,usa
651,ROXANNE,Arizona Zervas,pop rap,2019,117.0,164,5.0,99,france
652,Memories,Maroon 5,pop,2019,91.0,189,84.0,99,france
700,Memories,Maroon 5,pop,2019,91.0,189,84.0,99,india
701,ROXANNE,Arizona Zervas,pop rap,2019,117.0,164,5.0,99,india
702,Circles,Post Malone,dfw rap,2019,120.0,215,19.0,99,india
203,Circles,Post Malone,dfw rap,2019,120.0,215,19.0,99,belgium
751,Memories,Maroon 5,pop,2019,91.0,189,84.0,99,indonesia
752,ROXANNE,Arizona Zervas,pop rap,2019,117.0,164,5.0,99,indonesia
202,Memories,Maroon 5,pop,2019,91.0,189,84.0,99,belgium
152,Circles,Post Malone,dfw rap,2019,120.0,215,19.0,99,australia
151,ROXANNE,Arizona Zervas,pop rap,2019,117.0,164,5.0,99,australia
52,Memories,Maroon 5,pop,2019,91.0,189,84.0,99,africa
53,ROXANNE,Arizona Zervas,pop rap,2019,117.0,164,5.0,99,africa
852,ROXANNE,Arizona Zervas,pop rap,2019,117.0,164,5.0,99,italy
153,Memories,Maroon 5,pop,2019,91.0,189,84.0,99,australia
851,Memories,Maroon 5,pop,2019,91.0,189,84.0,99,italy
450,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,colombia
500,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,chile
400,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,germany
550,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,spain
350,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,canada
300,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,brazil
650,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,france
100,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,argentina
250,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,bolivia
150,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,australia
50,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,africa
200,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,belgium
750,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,indonesia
950,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,malaysia
850,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,italy
0,Dance Monkey,Tones and I,australian pop,2019,98.0,209,69.0,100,world
