,title,artist,top genre,year,bpm,duration,acousticness,popularity,country
564,"Yo x Ti, Tu x Mi",ROSALÍA,r&b en espanol,2019,92.0,201,46.0,90,spain
563,Aventura,Lunay,latin,2019,92.0,217,22.0,90,spain
562,Indeciso,Reik,latin,2019,95.0,217,18.0,90,spain
513,Aventura,Lunay,latin,2019,92.0,217,22.0,90,chile
514,Quizas,Rich Music LTD,reggaeton,2019,176.0,216,3.0,90,chile
515,Si Te Vas,Sech,panamanian pop,2019,174.0,205,9.0,90,chile
516,Tutu,Camilo,colombian pop,2019,146.0,179,27.0,90,chile
517,"Yo x Ti, Tu x Mi",ROSALÍA,r&b en espanol,2019,92.0,201,46.0,90,chile
614,Futsal Shuffle 2020,Lil Uzi Vert,melodic rap,2019,137.0,199,3.0,90,usa
566,Quizas,Rich Music LTD,reggaeton,2019,176.0,216,3.0,90,spain
462,Indeciso,Reik,latin,2019,95.0,217,18.0,90,colombia
974,It's You,Ali Gatie,canadian hip hop,2019,96.0,213,37.0,90,malaysia
461,Quizas,Rich Music LTD,reggaeton,2019,176.0,216,3.0,90,colombia
263,Tutu,Camilo,colombian pop,2019,146.0,179,27.0,90,bolivia
264,Si Te Vas,Sech,panamanian pop,2019,174.0,205,9.0,90,bolivia
116,Indeciso,Reik,latin,2019,95.0,217,18.0,90,argentina
115,"Yo x Ti, Tu x Mi",ROSALÍA,r&b en espanol,2019,92.0,201,46.0,90,argentina
114,Aventura,Lunay,latin,2019,92.0,217,22.0,90,argentina
412,Ayy Macarena,Tyga,pop rap,2019,96.0,132,13.0,90,germany
113,Si Te Vas,Sech,panamanian pop,2019,174.0,205,9.0,90,argentina
112,Quizas,Rich Music LTD,reggaeton,2019,176.0,216,3.0,90,argentina
265,Indeciso,Reik,latin,2019,95.0,217,18.0,90,bolivia
266,Quizas,Rich Music LTD,reggaeton,2019,176.0,216,3.0,90,bolivia
267,Aventura,Lunay,latin,2019,92.0,217,22.0,90,bolivia
268,"Yo x Ti, Tu x Mi",ROSALÍA,r&b en espanol,2019,92.0,201,46.0,90,bolivia
111,Tutu,Camilo,colombian pop,2019,146.0,179,27.0,90,argentina
261,Whine Up,Nicky Jam,latin,2019,105.0,215,5.0,91,bolivia
613,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,95.0,228,32.0,91,usa
612,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,142.0,155,90.0,91,usa
359,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,142.0,155,90.0,91,canada
262,Que Tire Pa Lante,Daddy Yankee,latin,2019,94.0,211,5.0,91,bolivia
218,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,95.0,228,32.0,91,belgium
460,Que Tire Pa Lante,Daddy Yankee,latin,2019,94.0,211,5.0,91,colombia
18,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,142.0,155,90.0,91,world
709,My Oh My (feat. DaBaby),Camila Cabello,dance pop,2019,105.0,171,2.0,91,india
360,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,95.0,228,32.0,91,canada
164,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,142.0,155,90.0,91,australia
110,Whine Up,Nicky Jam,latin,2019,105.0,215,5.0,91,argentina
109,Que Tire Pa Lante,Daddy Yankee,latin,2019,94.0,211,5.0,91,argentina
862,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,142.0,155,90.0,91,italy
863,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,95.0,228,32.0,91,italy
62,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,95.0,228,32.0,91,africa
61,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,142.0,155,90.0,91,africa
217,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,142.0,155,90.0,91,belgium
561,Whine Up,Nicky Jam,latin,2019,105.0,215,5.0,91,spain
19,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,95.0,228,32.0,91,world
411,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,95.0,228,32.0,91,germany
512,Que Tire Pa Lante,Daddy Yankee,latin,2019,94.0,211,5.0,91,chile
511,Whine Up,Nicky Jam,latin,2019,105.0,215,5.0,91,chile
973,My Oh My (feat. DaBaby),Camila Cabello,dance pop,2019,105.0,171,2.0,91,malaysia
459,Whine Up,Nicky Jam,latin,2019,105.0,215,5.0,91,colombia
213,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202.0,152,77.0,92,belgium
858,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,147.0,214,32.0,92,italy
16,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,147.0,214,32.0,92,world
214,Jingle Bell Rock,Bobby Helms,adult standards,1992,120.0,131,64.0,92,belgium
215,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,147.0,214,32.0,92,belgium
216,Mistletoe,Justin Bieber,canadian pop,2011,162.0,183,50.0,92,belgium
259,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,80.0,271,2.0,92,bolivia
258,Callaita,Bad Bunny,latin,2019,176.0,251,60.0,92,bolivia
708,Trampoline (with ZAYN),SHAED,electropop,2019,127.0,184,56.0,92,india
260,Jingle Bell Rock,Bobby Helms,adult standards,1992,120.0,131,64.0,92,bolivia
508,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,80.0,271,2.0,92,chile
509,Callaita,Bad Bunny,latin,2019,176.0,251,60.0,92,chile
510,Jingle Bell Rock,Bobby Helms,adult standards,1992,120.0,131,64.0,92,chile
658,Trampoline (with ZAYN),SHAED,electropop,2019,127.0,184,56.0,92,france
15,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202.0,152,77.0,92,world
162,Mistletoe,Justin Bieber,canadian pop,2011,162.0,183,50.0,92,australia
410,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202.0,152,77.0,92,germany
860,Mistletoe,Justin Bieber,canadian pop,2011,162.0,183,50.0,92,italy
14,Jingle Bell Rock,Bobby Helms,adult standards,1992,120.0,131,64.0,92,world
107,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,80.0,271,2.0,92,argentina
108,Callaita,Bad Bunny,latin,2019,176.0,251,60.0,92,argentina
861,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202.0,152,77.0,92,italy
972,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202.0,152,77.0,92,malaysia
163,Jingle Bell Rock,Bobby Helms,adult standards,1992,120.0,131,64.0,92,australia
971,Jingle Bell Rock,Bobby Helms,adult standards,1992,120.0,131,64.0,92,malaysia
458,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,80.0,271,2.0,92,colombia
60,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,147.0,214,32.0,92,africa
59,Mistletoe,Justin Bieber,canadian pop,2011,162.0,183,50.0,92,africa
58,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202.0,152,77.0,92,africa
57,Jingle Bell Rock,Bobby Helms,adult standards,1992,120.0,131,64.0,92,africa
160,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,147.0,214,32.0,92,australia
161,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202.0,152,77.0,92,australia
457,Callaita,Bad Bunny,latin,2019,176.0,251,60.0,92,colombia
409,Jingle Bell Rock,Bobby Helms,adult standards,1992,120.0,131,64.0,92,germany
859,Jingle Bell Rock,Bobby Helms,adult standards,1992,120.0,131,64.0,92,italy
611,BOP,DaBaby,nc hip hop,2019,127.0,160,19.0,92,usa
970,Goodbyes (feat. Young Thug),Post Malone,dfw rap,2019,150.0,175,46.0,92,malaysia
969,Mistletoe,Justin Bieber,canadian pop,2011,162.0,183,50.0,92,malaysia
968,Trampoline (with ZAYN),SHAED,electropop,2019,127.0,184,56.0,92,malaysia
17,Mistletoe,Justin Bieber,canadian pop,2011,162.0,183,50.0,92,world
559,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,80.0,271,2.0,92,spain
560,Callaita,Bad Bunny,latin,2019,176.0,251,60.0,92,spain
358,Mistletoe,Justin Bieber,canadian pop,2011,162.0,183,50.0,92,canada
408,Mistletoe,Justin Bieber,canadian pop,2011,162.0,183,50.0,92,germany
356,Jingle Bell Rock,Bobby Helms,adult standards,1992,120.0,131,64.0,92,canada
355,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202.0,152,77.0,92,canada
407,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,147.0,214,32.0,92,germany
357,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,147.0,214,32.0,92,canada
608,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202.0,152,77.0,92,usa
610,Mistletoe,Justin Bieber,canadian pop,2011,162.0,183,50.0,92,usa
609,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,147.0,214,32.0,92,usa
607,Jingle Bell Rock,Bobby Helms,adult standards,1992,120.0,131,64.0,92,usa
456,LA CANCIÓN,J Balvin,latin,2019,176.0,243,15.0,93,colombia
967,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,1964,67.0,126,61.0,93,malaysia
106,LA CANCIÓN,J Balvin,latin,2019,176.0,243,15.0,93,argentina
